year,date,title,word_count,num_speakers,chamber,keyword_count,primary_match,keywords
1928,29 March 1928,"REPRESENTATION OF THE PEOPLE (EQUAL FRANCHISE) BILL. (Hansard, 29 March 1928)",50275,47,Commons,13,True,"suffrage, franchise, women vote, female vote, women voting"
1924,29 February 1924,"REPRESENTATION OF THE PEOPLE ACT (1918) AMENDMENT BILL. (Hansard, 29 February 1924)",35876,42,Commons,11,True,"suffrage, franchise, women vote, female vote, women voting"
1912,28 March 1912,"PARLIAMENTARY FRANCHISE (WOMEN) BILL. (Hansard, 28 March 1912)",51171,31,Commons,10,True,"suffrage, franchise, women vote, female vote, women voting"
1917,20 June 1917,"CLAUSE 4.—(Franchises (Women)) (Hansard, 20 June 1917)",42731,54,Commons,10,True,"suffrage, franchise, women vote, female vote, women voting"
1920,27 February 1920,"REPRESENTATION OF THE PEOPLE BILL. (Hansard, 27 February 1920)",33010,44,Commons,10,True,"suffrage, franchise, women vote, female vote, women voters"
1917,19 June 1917,"CLAUSE 4.—(Franchises (Women).) (Hansard, 19 June 1917)",53289,46,Commons,9,True,"suffrage, franchise, women vote, female vote, women voters"
1928,21 May 1928,"REPRESENTATION OF THE PEOPLE (EQUAL FRANCHISE) BILL. (Hansard, 21 May 1928)",18996,12,Lords,9,True,"suffrage, franchise, women vote, women voters, women electors"
1918,23 October 1918,"MR. H. SAMUELS' RESOLUTION. (Hansard, 23 October 1918)",19404,22,Commons,8,True,"suffrage, franchise, women vote, female vote, women voters"
1919,04 July 1919,"WOMEN'S EMANCIPATION BILL. (Hansard, 4 July 1919)",26780,43,Commons,8,True,"suffrage, franchise, women vote, women voters, electoral reform"
1911,05 May 1911,"WOMEN'S ENFRANCHISEMENT BILL. (Hansard, 5 May 1911)",31548,22,Commons,7,True,"suffrage, franchise, women vote, female vote, women voters"
1912,17 June 1912,"FRANCHISE AND REGISTRATION BILL. (Hansard, 17 June 1912)",47425,36,Commons,7,True,"suffrage, franchise, women vote, female vote, women voters"
1913,30 April 1913,"PLURAL VOTING BILL. (Hansard, 30 April 1913)",28580,24,Commons,7,True,"suffrage, franchise, women vote, women suffragists, electoral reform"
1918,14 January 1918,"REPRESENTATION OF THE PEOPLE BILL. (Hansard, 14 January 1918)",27782,25,Lords,7,True,"suffrage, franchise, women vote, female vote, women voters"
1918,10 January 1918,"REPRESENTATION OF THE PEOPLE BILL. (Hansard, 10 January 1918)",26583,14,Lords,7,True,"suffrage, franchise, women vote, female vote, women voters"
1918,28 January 1918,"REPRESENTATION OF THE PEOPLE BILL. (Hansard, 28 January 1918)",46414,32,Lords,7,True,"suffrage, franchise, women vote, women voters, representation of the people"
1918,15 January 1918,"REPRESENTATION OF THE PEOPLE BILL. (Hansard, 15 January 1918)",27480,27,Lords,7,True,"suffrage, franchise, women voting, women suffragists, representation of the people"
1919,04 April 1919,"WOMEN'S EMANCIPATION BILL. (Hansard, 4 April 1919)",29185,37,Commons,7,True,"suffrage, franchise, women vote, women voters, women electors"
1922,05 May 1922,"REPRESENTATION OF THE PEOPLE ACTS (1918 to 1921) AMENDMENT BILL. (Hansard, 5 May 1922)",18643,20,Commons,7,True,"suffrage, franchise, women vote, women voters, women electors"
1924,17 July 1924,"PARLIAMENT (QUALIFICATION OF PEERESSES) BILL. [H.L.] (Hansard, 17 July 1924)",6505,8,Lords,7,True,"suffrage, franchise, women vote, female vote, women voters"
1928,22 May 1928,"REPRESENTATION OF THE PEOPLE (EQUAL FRANCHISE) BILL. (Hansard, 22 May 1928)",17547,16,Lords,7,True,"suffrage, franchise, women vote, women voters, electoral reform"
1928,07 May 1928,"CLAUSE 4.—(Amendment of Section 8 of principal Act.) (Hansard, 7 May 1928)",8530,19,Commons,7,True,"suffrage, franchise, women vote, women voters, representation of the people"
1928,12 June 1928,"REPRESENTATION OF THE PEOPLE (EQUAL FRANCHISE) BILL. (Hansard, 12 June 1928)",17061,13,Lords,7,True,"suffrage, franchise, women vote, women voters, representation of the people"
